Class ID: 0, Sub ID: -1, DRS File Name: building_bandits_air_defense_launcher_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_bandits_air_defense_launcher_module1_s2.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_fire_blaster_cannon_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_fire_tower_of_flames_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_frost_cannon_tower_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_frost_fortress_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_frost_frontier_keep_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_frost_superweapon_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: frostland_generator_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: greenland_generator.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: greenland_generator_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: wasteland_generator_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: frostland_monument_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: greenland_monument.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: greenland_monument_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: wasteland_monument_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_shadow_fortress_of_erasing_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_shadow_fortress_of_erasing_module1_s2.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: building_twilight_tower_module1_s0.drs, Locator File Name: 
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_building_dusk.drs, Locator File Name: effect_code_building_Dust.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_endboss_heal_channel.drs, Locator File Name: effect_dummy_UniversalDOT_ovt.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_endboss_heal_sphere.drs, Locator File Name: effect_dummy_UniversalDOT_ovt.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_fire_fireplace.drs, Locator File Name: effect_global_ambient_Fire_Fireplace_s.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_fog_ground.drs, Locator File Name: effect_global_ambient_Fog_Ground_m.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_misc_glowflies.drs, Locator File Name: effect_greenland_ambient_Glowflies_s.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_misc_leaves.drs, Locator File Name: effect_greenland_ambient_Leaves_s.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_misc_nogoarea.drs, Locator File Name: effect_greenland_special_NoGoArea_l.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_misc_nogobeam.drs, Locator File Name: effect_greenland_special_NoGoArea_Beam_m.fxb
Class ID: 0, Sub ID: -1, DRS File Name: environment_effect_controller_misc_portal_overtime.drs, Locator File Name: effect_dummy_UniversalDOT_ovt.fxb
